title,link,location,experience,description,requirements,benefits,work_location_detail,working_time,deadline,salary,salary_normalized,currency_unit,skills,group,seniority,skills_clean
Nhân Viên Kỹ Thuật Máy Tính,https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-may-tinh-luong-up-to-15tr-di-lam-ngay/1631995.html?ta_source=ITJobs_LinkDetail,Hà Nội,Dưới 1 năm,"A. Kỹ thuật & sửa chữa
Thực hiện tháo lắp, chẩn đoán, sửa chữa các lỗi phần cứng và phần mềm của máy tính, laptop và các thiết bị công nghệ.
Kiểm tra tình trạng máy, xác định nguyên nhân hư hỏng, đề xuất phương án khắc phục và báo cáo kết quả cho quản lý.
Cập nhật kiến thức kỹ thuật mới, tuân thủ quy trình kỹ thuật và tiêu chuẩn chất lượng của công ty.
Đảm bảo tiến độ xử lý thiết bị nhanh chóng, chính xác và an toàn.
B. Quản lý kho & hàng hóa
Quản lý, sắp xếp hàng hóa (máy, linh kiện, phụ kiện...) trong kho theo đúng quy trình.
Kiểm tra, nhập – xuất hàng hóa theo đơn đặt hàng và hướng dẫn của quản lý.
Đảm bảo hàng hóa được bảo quản đúng tiêu chuẩn, tránh thất thoát, hư hỏng.
Hỗ trợ cập nhật dữ liệu trên hệ thống kho, báo cáo số lượng tồn kho định kỳ.
Phối hợp với các bộ phận Kinh doanh, CSKH, Hậu mãi để đảm bảo quy trình vận hành kho và giao nhận diễn ra trơn tru, chính xác.
C. Giao tiếp & phối hợp công việc
Giao tiếp rõ ràng, chuyên nghiệp với đồng nghiệp, khách hàng và đối tác kỹ thuật.
Chủ động hỗ trợ tư vấn kỹ thuật cơ bản cho bộ phận bán hàng hoặc khách hàng khi cần thiết.
Ghi nhận phản hồi, chuyển tiếp thông tin chính xác cho quản lý và bộ phận liên quan.
Thể hiện tinh thần hợp tác, cầu thị, thái độ tôn trọng và trách nhiệm trong công việc hàng ngày.
Tham gia các buổi họp, đào tạo nội bộ về kỹ thuật và quy trình làm việc.
D. Công việc khác
Thực hiện các công việc khác theo sự phân công của quản lý.
Đề xuất các ý tưởng cải tiến quy trình vận hành, bảo trì và tối ưu công việc kỹ thuật.","A. Trình độ học vấn: Tốt nghiệp Trung cấp, Cao đẳng hoặc Đại học chuyên ngành Công nghệ thông tin, Điện – Điện tử, Kỹ thuật máy tính hoặc các ngành liên quan B. Kinh nghiệm: Ưu tiên ứng viên có từ 6 tháng – 1 năm kinh nghiệm trong lĩnh vực sửa chữa máy tính, laptop, thiết bị công nghệ. C. Kỹ năng chuyên môn: Hiểu rõ cấu tạo phần cứng, phần mềm máy tính. Có khả năng tháo lắp, kiểm tra lỗi, cài đặt hệ điều hành và phần mềm thông dụng. Biết sử dụng các công cụ kỹ thuật, phần mềm hỗ trợ chẩn đoán lỗi. D. Kỹ năng giao tiếp: Biết lắng nghe và trình bày vấn đề kỹ thuật dễ hiểu. Phối hợp tốt với các bộ phận khác, có thái độ tích cực và chuyên nghiệp khi làm việc với khách hàng. E. Tác phong – thái độ: Cẩn thận, trung thực, trách nhiệm, chủ động học hỏi. Có tinh thần làm việc nhóm, hỗ trợ đồng nghiệp và gắn bó lâu dài.","Thu nhập tháng hấp dẫn, cạnh tranh: Lương cứng cao + Thường dịch vụ + Thưởng thực hiện tiêu chuẩn, thưởng top sale hàng tháng/quý, thưởng năm và thâm niên.
Làm việc tại hệ thống bán lẻ công nghệ uy tín, chuyên nghiệp với nhiều thiếp bị công nghệ, nội thất hiện đại.
Môi trường làm việc trẻ trung, năng động, tử tế, có tầm nhìn, sứ mệnh, giá trị cốt lõi rõ ràng, khuyến khích sáng tạo và cải tiến.
Được đào tạo chuyên sâu về kỹ thuật, quy trình vận hành và kỹ năng giao tiếp nội bộ.
Cơ hội thăng tiến lên các vị trí Kỹ thuật trưởng hoặc Kỹ thuật chuyên sâu theo lộ trình nghề nghiệp.
Thưởng các ngày Lễ, Tết, sinh nhật
Xét tăng lương định kỳ 6 tháng/lần.","- Hà Nội: 53 Thái Hà, P. Trung Liệt, Đống Đa, Đống Đa",8h30 - 18h từ Thứ 2 đến hết Sáng Thứ 7 hoặc làm việc theo ca (8h/1 ca làm việc) theo sự phân công của Cửa hàng trưởng.,2025-11-30,11500000.0,11500000.0,VND,[],Khác,mid,[]
Blockchain Developer,https://www.topcv.vn/viec-lam/blockchain-developer/1911430.html?ta_source=ITJobs_LinkDetail,Hà Nội,1 năm,"JOB DESCRIPTION
Build Blockchain and Smart Contract related backend system
Work closely with technical teams on cryptographic models, smart contracts, security and other questions related to protocols and software
Research on various aspects of Blockchain (e.g. automation, transparency, trustworthiness, scalability, performance, etc.) next in different fields
RESPONSIBILITY
Design, develop, deploy and maintain smart contracts on blockchain platforms.
Implement and follow best practices for smart contract security to mitigate potential vulnerabilities and address any identified issues.
Create comprehensive and clear documentation for smart contracts, APIs, and development processes.
Stay up-to-date with the latest developments in blockchain technology, propose and implement innovative solutions to enhance the functionality and security of smart contracts.
Participate in code reviews and provide feedback to other developers.","REQUIREMENTS Must have: Having at least 1 years of experience in developing and releasing secure and production smart contracts in Solidity, NodeJs and Hardhat. Have strong knowledge about Defi: Dex(AMM, Order book), Lending, Farming,... Have strong knowledge of the Ethereum Virtual Machine and other EVM-compatible networks, DeFis and other Web3 ecosystems. Good logical thinking and problem solver interested in building complex smart contracts. Have built and released production contracts with holding significant amounts of funds. Good English skills (reading skills are required). Having an interest in Blockchain technology (believes in a decentralized world and really wants to make a difference). Nice to have: Experience with alternative, non-EVM-based execution environments (Move Language, Ton) Working knowledge of cryptographic libraries and concepts. Proficient with data structures and algorithms, research in cryptography and security protocols. Familiarity with Foundry (Forge, Anvil…). Experience in Git version control.","Development opportunities
Working in an environment with talented engineers who have experience in developing products in the field of Fintech, Blockchain, Cryptocurrencies.
Take a key role in building the project from the very beginning;
Technical and professional training throughout the working process.
Remuneration
Earn up to $2500, 13th-month bonus, performance bonus according to the company's business situation.
Flexible working hours: 9:00-18:30 Monday-Friday, 1h30-minute lunch break
Labor contract and all benefits prescribed by the state (pay social insurance, health insurance, unemployment insurance).
Performance review once a year.
Happy time, monthly birthdays, and social events.
Annual health check at a reputable hospital.
16 days leave, 4 days sick leave with full salary.
Healthcare Insurance
Equipment for work
Chillax office with gym, swimming pool, free snacks & drink all day.
_______________","- Hà Nội: Vinhomes West Point, Pham Hung Street, Me Tri Ward, Nam Tu Liem, Ha Noi, Nam Từ Liêm",Thứ 2 - Thứ 6 (từ 09:00 đến 18:30),2025-11-12,42000000.0,42000000.0,VND,[],Khác,mid,[]
Tester,https://www.topcv.vn/viec-lam/tester-up-to-15m/1910178.html?ta_source=ITJobs_LinkDetail,Hà Nội,1 năm,"Review and analyze client-specific requirements and scope of projects/tasks to ensure an accurate understanding of deliverable requirements and acceptance criteria.
Define test scenarios, create test plans, and participate in the definition and execution of manual and/or automated system test scripts.
Executing the appropriate test cases, including writing test plans, scenarios, and test cases, mining and manipulating test data.
Isolate, replicate, and report defects and retesting of defects through resolution.
Collaborate with project team resources to understand and prioritize testing efforts.
Execute project deliverables and tasks on time and on budget to support profitable and high-quality operations service delivery.
Typically assigned to multiple projects, ranging from simple to moderate complexity, or to a single project of high complexity.
Assist in the analysis of current processes and propose recommendations for process improvements.
Perform other related duties as assigned.","22-25 years old and have at least 1 year of experience in website or software testing. Basic knowledge in e-commerce, pre-intermediate English level (reading and writing skills), and computer literacy. Experience working in an Agile/Scrum or having knowledge of JavaScript, PHP, and Magento is a plus. Analytical, critical thinking, and problem-solving skills. Strong interpersonal skills to collaborate with customers and internal cross-functional teams. Ability to quickly learn new technologies, systems, and processes. Self-motivated, well-organized, and with strict attention to detail. Having an infectious can-do attitude inspires others and encourages great performance in a fast-moving environment. Own or potentially develop BSS core values: Passion, Responsibility, Integrity, Can-do attitude, Joy, Respect.","Salary: 10M - 15M (review every 6 months).
Working in one of the leading Magento companies in Vietnam, which is the first to be both Select
Extension Builder and Business Solution Partner of Magento, with nearly 100% foreign customers.
Daily implement professional testing tools (Browserstack, Jmeter, Internal bug logging system...)
Coverage of ISTQB certification fee and other advanced testing courses.
Youthful and dynamic working environments with many clubs: running, football, board games...
Convenient office at the 14th, 18th, 19th, and 20th floors with scenic views. Tea, coffee, and drinks are always available at the office.
The State statutory holidays and collective activities (team building, picnics, travel...) are organized by the Company.
Other benefits are according to the provisions of the Company and the Labor Code.","- Hà Nội: Toà Viwaseen, 48 Tố Hữu, Nam Từ Liêm, Nam Từ Liêm",Thứ 2 - Thứ 6 (từ 08:30 đến 17:45),2025-11-12,12500000.0,12500000.0,VND,[],Khác,mid,[]
IT Support,https://www.topcv.vn/viec-lam/it-support-quan-tri-he-thong/1199308.html?ta_source=ITJobs_LinkDetail,TP. Hồ Chí Minh,2 năm,"Quản trị hệ thống web hosting, email server, database server, cloud computing, ....
Hỗ trợ khách hàng khi khách hàng gặp sự cố trong quá trình sử dụng tên miền, web hosting, email server, server và các dịch vụ gia tăng tại P.A Việt Nam.
Tư vấn khách hàng đăng ký sử dụng các dịch vụ thích hợp với nhu cầu của khách hàng.","Yêu cầu Có kinh nghiệm ít nhất 1 năm trở lên về một hoặc các lĩnh vực sau: Quản trị hệ thống server Window, Linux, Web server (Apache - IIS), Mail server. Quản trị hệ thống cơ sở dữ liệu MS SQL và MySQL. Bảo mật hệ thống (Window, Linux, Firewall). Nắm vững các khái niệm Domain Name System (DNS) Có thêm kiến thức và kinh nghiệm sau đây là một lợi thế: Đã từng sử dụng các Hosting control panel: Cpanel, Direct Admin, Plesk. Đã từng học hoặc làm qua một trong các ngôn ngữ lập trình như .NET, JAVA, PHP. Đã từng làm việc qua ở các trung tâm dữ liệu. Hòa đồng, có khả năng làm việc nhóm hoặc làm việc độc lập, có khả năng nghiên cứu phát triển. Đam mê công việc hỗ trợ kỹ thuật - bảo mật và quản trị hệ thống, làm việc cẩn thận, có tinh thần trách nhiệm. Đã đạt một trong các chứng chỉ: MCSA, MCSE, LPI và CCNA là lợi thế. Yêu cầu trình độ: Tốt nghiệp Đại Học Chuyên ngành Công Nghệ Thông Tin. Anh văn trình độ B hoặc tương đương, có khả năng đọc hiểu tốt.","Được ký hợp đồng lao động và đóng bảo hiểm Y tế, Bảo hiểm xã hội theo qui định của pháp luật.
Thăng tiến liên tục theo khả năng đóng góp cho Công ty không giới hạn thời gian làm việc.
Được hưởng tháng lương 13.
Được đào tạo theo chương trình Đào tạo của công ty
Được ít nhất 1 chuyến du lịch hàng năm.
Được phụ cấp cơm trưa, và các bữa ăn nhẹ trong ngày.
Được tham gia các hoạt động thể dục thể thao hàng tuần miễn phí.",- Hồ Chí Minh: Quận 7,"Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
Thứ 7 (từ 08:00 đến 12:00)",2025-11-17,15000000.0,15000000.0,VND,[],Khác,mid,[]
Game Developer,https://www.topcv.vn/viec-lam/game-developer/1915516.html?ta_source=ITJobs_LinkDetail,TP. Hồ Chí Minh,Không yêu cầu,"About BitCover
BitCover is a successful game studio behind Lakeside Bar, a simulation game on Steam that has received Very Positive reviews from over 470 players within two months of release.
Our team focuses on building fun, engaging, and technically solid games — from commercial desktop titles to branded mini-games and gamified loyalty experiences for businesses.
As a company, we blend creativity, technology, and innovation, creating interactive experiences that connect brands and players in meaningful ways.
What You’ll Do
As a Game Developer, you’ll be part of a passionate team bringing game ideas to life.
Your main tasks include:
Developing and optimizing games using Unity or Cocos Creator.
Working closely with designers and artists to integrate game assets and logic.
Ensuring smooth performance across platforms.

You’ll work on a variety of projects such as:
Branded mini-games for marketing campaigns.
Gamification experiences for loyalty programs.
Desktop video games published on Steam and Epic Games Store.","We welcome game developers who are passionate about coding and game creation. You’re likely a great fit if you: Have a solid foundation in programming (C#, JavaScript, or TypeScript). Are eager to learn new technologies and grow in the game industry. Can use Claude Code, ChatGPT, or other LLM-based tools to support coding tasks. Are collaborative, detail-oriented, and motivated by challenges.","Salary & Benefits
Salary: 7,000,000 – 12,000,000 VND/month
13th-month salary bonus
Social insurance according to Vietnamese labor law
40-hour work week, Monday to Friday (weekends off)
Creative, supportive, and tech-driven environment
Monthly gatherings and annual team-building trips
Career development training with senior engineers and producers","- Hồ Chí Minh: 38 Cộng Hòa, Phường 4, Tân Bình",Thứ 2 - Thứ 6 (từ 09:00 đến 18:00),2025-11-16,9500000.0,9500000.0,VND,[],Khác,mid,[]
IT Helpdesk,https://www.topcv.vn/viec-lam/it-helpdesk-thu-nhap-up-to-15-trieu-di-lam-ngay/1917872.html?ta_source=ITJobs_LinkDetail,Hà Nội,1 năm,"• Hỗ trợ cài đặt, bảo trì, khắc phục sự cố phần cứng và phần mềm máy tính, máy in, thiết bị mạng.
• Cấu hình hệ thống mạng nội bộ, camera, tổng đài, WiFi văn phòng.
• Quản lý tài sản CNTT và cập nhật dữ liệu thiết bị định kỳ.
• Hỗ trợ người dùng trong công ty xử lý các vấn đề liên quan đến IT.
• Backup và phục hồi dữ liệu hệ thống định kỳ.
• Đề xuất các phương án nâng cấp hệ thống CNTT phù hợp.
• Hỗ trợ kỹ thuật từ xa cho các chi nhánh hoặc công trình khi có yêu cầu.","• Nam, tốt nghiệp Trung cấp/Cao đẳng/Đại học chuyên ngành CNTT, Kỹ thuật máy tính hoặc các ngành liên quan. • Có từ 1 năm kinh nghiệm ở vị trí IT Helpdesk hoặc IT Support. • Hiểu biết về hệ điều hành Windows, phần cứng máy tính, mạng LAN/WAN, máy in, thiết bị mạng. • Kỹ năng giao tiếp, hỗ trợ người dùng tốt. • Trung thực, nhanh nhẹn, có khả năng làm việc độc lập và theo nhóm. • Không ngại di chuyển.","• Mức lương: 10 - 15 triệu VNĐ/tháng (tùy năng lực & kinh nghiệm).
• Thưởng theo hiệu quả công việc, phụ cấp trách nhiệm.
• Được đào tạo nâng cao kỹ năng chuyên môn.
• Tham gia đầy đủ chế độ BHXH, BHYT, BHTN theo quy định.
• Môi trường làm việc ổn định, chuyên nghiệp.","- Hà Nội: Văn phòng Focustech, Tầng 7, Toà Zodiac ngõ 19 Duy Tân, Cầu Giấy","Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
Thứ 7 (từ 08:00 đến 12:00)",2025-11-17,12500000.0,12500000.0,VND,[],Khác,mid,[]
Lập Trình Viên Back-End,https://www.topcv.vn/viec-lam/lap-trinh-vien-back-end-nodejs-y-c-3-nam-kinh-nghiem-thu-nhap-20-25-trieu-thang/1905475.html?ta_source=ITJobs_LinkDetail,Hà Nội,3 năm,"Phát triển hệ thống, phần mềm quản trị toàn bộ hoạt động của công ty
Xây dựng hệ thống API cho Mobile App, Web App
Các công nghệ sử dụng: Node.js, MySql, MongoDb, Kafka, ....
Phát triển các sản phẩm về giáo dục trực tuyến của công ty
Hỗ trợ giải quyết các vấn đề của dự án
Làm việc, phối hợp công việc theo nhóm dưới sự phân công công việc của quản lý dự án","Tối thiểu 3 năm kinh nghiệm làm việc với Nodejs Tốt nghiệp ĐH các trường chuyên đào tạo CNTT như: ĐH Bách Khoa, ĐH Công Nghệ, HV Bưu chính viễn thông, HV Kỹ thuật mật mã,.... Có thể làm việc độc lập cũng như làm việc teamwork tốt, tham gia xây dựng giải pháp cho hệ thống dữ liệu lớn. Có kiến thức tốt về lập trình hàm, lập trình hướng đối tượng Thành thạo Node.js, MySql, MongoDb Thành thạo làm việc với cơ sở dữ liệu quan hệ như MySQL, MongoDb, có kinh nghiệm tối ưu hóa truy vấn là một lợi thế. Sử dụng tốt các công cụ lập trình, công cụ git; Ưu tiên ứng viên có hiểu biết về các phương pháp bảo mật cơ bản, thực hiện tối ưu hóa Yêu cầu biết sử dụng các công cụ AI trong công việc (copilot, ChatGPT, gemini, claude...; hoặc các ứng dụng tương đương)","Thu nhập: từ 20-25 triệu đồng/tháng (gross)
Sản phẩm giáo dục chất lượng, hàng đầu trong lĩnh vực giáo dục online trực tuyến, được đánh giá cao về chuyên môn lẫn khách hàng
Đóng bảo hiểm theo luật định BHXH, BHYT
Được review tăng lương hằng năm, nghỉ lễ, tham gia team building, du lịch hàng năm
Được làm việc trong môi trường trẻ trung, năng động, nhiều cơ hội thăng tiến
Được hưởng đầy đủ các chế độ theo quy định của công ty và pháp luật hiện hành.","- Hà Nội: Tòa nhà Rivera Park, 69 Vũ Trọng Phụng, Thanh Xuân, Thanh Xuân","Thứ 2 - Thứ 6 (từ 08:15 đến 17:30)
Nghỉ 2 ngày thứ 7 & tất cả Chủ Nhật",2025-11-07,22500000.0,22500000.0,VND,[],Khác,mid,[]
Back End Developer,https://www.topcv.vn/viec-lam/back-end-developer-java/1914108.html?ta_source=ITJobs_LinkDetail,TP. Hồ Chí Minh,3 năm,"・Developing and implementing features relevant to Backend side with Agile Scrum Methodology
・Maintaining and improving performance of existing systems with flexible solutions.
・Modifying and refactoring according to changing business requirements.
・Implementing high-quality software with automation testing.
・Open-minded newly with many interesting tools and libraries.
・Self-improvement with huge technical documents and sharing, coaching presentations.
・For senior level: Support Lead Backend Developer to manage junior/fresher","Must This level able to develop under the direction of the Lead Engineer ・Willingness to develop and improve services with the sense of ownership ・Experience development web application using Java from 3 years (exclude training period) ・Experience with Spring Boot, Spring MVC ・Basic knowledge and experience with SQL ・Experience in team development with using Git ・Experience in development performance-oriented DML ・Experience in development DDL ・Experience in designing APIs based on the OpenAPI specification Preferable ・Experience with UI library/framework such as React Experience with PHP ・Knowledge of basic security issues such as SQL injection, XSS, CSRF, etc ・Experience with web application development using cloud service such as AWS ・Experienced in team building ・Experience with Scrum development ・Basic knowledge and experience with Clean Architecture English skill Pre-Intermidiate - Intermediate Recruitment Process 1st interview → Final interview → Offer","Monthly Salary 1,000 - 1,900USD Gross (Negotiable)
Salary Increase Salary Review (Twice a Year)
Bonus 13th Salary
Other Benefits
・Flexible Working Time (Hybrid Working)
・Social Insurance with full salary
・Travel Allowance
・Premium Health Care (PTI Insurance)
・15th Annual Leave
・Device Full Provide
・Improve Skill Course (Udemy)
・Happy Hour, Company Trip, Year End Party and Events
・Marriage / Baby Gift
・Funeral Expenses
・Referral Bonus
・Annual Health Check
・Career Path for members","- Hồ Chí Minh: 6th Floor An Phu Plaza 117-119 Ly Chinh Thang Street, Vo Thi Sau Ward, Quận 3",Thứ 2 - Thứ 6 (từ 08:00 đến 17:00),2025-11-15,31800000.0,31800000.0,VND,[],Khác,mid,[]
Backend Developer,https://www.topcv.vn/viec-lam/backend-developer-signing-bonus-thu-nhap-20-35-trieu-tai-long-bien-ha-noi/1915101.html?ta_source=ITJobs_LinkDetail,Hà Nội,1 năm,"Tham gia trực tiếp vào dự án Tài chính, ngân hàng
Trực tiếp tham gia vào toàn bộ chu trình phát triển sản phẩm, từ phân tích yêu cầu, thiết kế, lập trình, kiểm thử đến triển khai.
Phát triển các ứng dụng di động hiệu suất cao bằng một trong các công nghệ: Java (Spring Boot)
Hợp tác chặt chẽ với các thành viên trong nhóm (BA, Tester, Developers) để đảm bảo sản phẩm đạt chất lượng cao nhất.
Thực hiện sửa lỗi (debugging), bảo trì và nâng cấp các tính năng cho sản phẩm.
Nghiên cứu, học hỏi và áp dụng các công nghệ mới để liên tục cải tiến sản phẩm.","Yêu cầu chung: Tư duy lập trình vững chắc, đam mê công nghệ và có tinh thần trách nhiệm cao. Hiểu biết sâu sắc về RESTful API, kiến trúc Microservices. Quen thuộc với quy trình làm việc Agile/Scrum. Điểm cộng lớn: Có kinh nghiệm thực chiến với Redis (Caching) và Kafka (Message Queue). Senior Backend Developer - upto 35 triệu: Là ""đầu tàu"" trong việc thiết kế kiến trúc hệ thống phức tạp, chịu tải cao. Có kinh nghiệm dẫn dắt kỹ thuật (technical leadership), mentoring các thành viên trong team. Làm chủ các công nghệ cốt lõi và có khả năng đưa ra các quyết định kỹ thuật quan trọng. Middle Backend Developer - upto 25 triệu: Có khả năng tự chủ phát triển các tính năng lớn, từ đầu đến cuối. Nắm vững Golang hoặc Java, có kinh nghiệm làm việc với Postgres, Redis. Viết code sạch, hiệu quả và có khả năng review code cho các thành viên khác. Junior Backend Developer - upto 15 triệu: Nền tảng lập trình (OOP, cấu trúc dữ liệu, giải thuật) cực kỳ vững chắc. Tư duy logic tốt, ham học hỏi và có khả năng tiếp thu công nghệ mới nhanh. Sẵn sàng tham gia phát triển tính năng dưới sự hướng dẫn và đóng góp vào chất lượng chung của sản phẩm.","Sign-in Bonus hấp dẫn cho ứng viên nhận việc (thỏa thuận khi phỏng vấn).
Mức lương cạnh tranh, đàm phán theo năng lực và kinh nghiệm.
Phúc lợi đầy đủ: BHXH, BHYT, BHTN, khám sức khỏe định kỳ.
Thưởng đa dạng: Thưởng dự án, thưởng hiệu suất, lương tháng 13.
Môi trường lý tưởng: Làm việc với đội ngũ kỹ sư giỏi, môi trường cởi mở, sáng tạo.
Cơ hội lớn: Tham gia dự án quan trọng, tiếp cận các bài toán thách thức.
Teambuilding, du lịch hằng năm và các hoạt động gắn kết sôi nổi.",- Hà Nội: Long Biên,Thứ 2 - Thứ 6 (từ 08:00 đến 17:00),2025-11-18,27500000.0,27500000.0,VND,[],Khác,mid,[]
Backend Developer,https://www.topcv.vn/viec-lam/blockchain-backend-developer/1256541.html?ta_source=ITJobs_LinkDetail,Hà Nội,2 năm,"Design and implement RESTful APIs
Build and deploy performant modern web applications in Golang, Rust, Nodejs, ...
Build a high-performance and optimized backend system to meet large volumes of traffic.
Architect efficient and scalable backend systems
Write unit, functional and end-to-end tests
Write high-quality code (Go, Rust, NodeJS) that communicates with upstream backend services via HTTP/GRPC APIs
Identify and resolve performance and scalability issues
Participate in code reviews
Participate in research on optimal solutions, and system security; contribute ideas on technology and products","Must have: At least 2 year of server-side programming (Experience level) Understand CS fundamentals (algorithms and data structures, operating systems, networks, databases, etc) Familiar with common network protocols (TCP, UDP, HTTP) and network programming; Good knowledge of both RDB and NoSQL. Familiar with Linux development environments and multi-threaded programming; Familiar with Version Control System (GIT) Proficiency in at least one programming languages – Golang, Rust, Nodejs Nice to have: Having worked with Blockchain, Cryptocurrencies, and/or high-access responsive systems is a big plus Building data lake and analytics skills (Metabase, Dune, BigQuery, Data Studio) Knowledge of information safety and security is an advantage. Strong problem-solving, interpersonal, and communication skills Experience in Docker/Kubernetes and Cloud Infrastructure is a plus Able to work with a team as well as independently. Have spirit, responsibility, and initiative in work.","Development opportunities:
Working in an environment with talented engineers who have experience in developing products in the field of Fintech, Blockchain, Cryptocurrencies.
Take a key role in building the project from the very beginning;
Technical and professional training throughout the working process.
Remuneration:
Earn up to $2500, 13th-month bonus, performance bonus according to the company's business situation.
Flexible working hours: 9:00-18:30 Monday-Friday, 1h30-minute lunch break
Labor contract and all benefits prescribed by the state (pay social insurance, health insurance, unemployment insurance);
16 days leave, 4 days sick leave with full salary;
PVI Healthcare Insurance;
Annual health check at a reputable hospital;
Equipment for work;
Daily lunch, happy hour every Thursday, and monthly team outing;
Chillax office with gym, swimming pool, free snacks & drink all day;
Travel - vacation at least once a year at domestic and international 5-star resorts;","- Hà Nội: Vinhomes West Point, Pham Hung Street, Me Tri Ward, Nam Tu Liem, Ha Noi, Nam Từ Liêm",Thứ 2 - Thứ 6 (từ 09:00 đến 18:30),2025-11-05,42000000.0,42000000.0,VND,[],Khác,mid,[]
PHP Developer,https://www.topcv.vn/viec-lam/php-developer-thu-nhap-upto-25-trieu-ho-tro-an-trua-thuong-nang-suat-va-loi-nhuan-cao-tai-ha-noi/1915423.html?ta_source=ITJobs_LinkDetail,Hà Nội,2 năm,"- Phát triển các tính năng cho các dịch vụ trong Công ty, sử dụng PHP, Laravel, MySQL
- Nghiên cứu các công nghệ lập trình mới, tiên tiến để áp dụng cải tiến hệ thống
- Thực hiện các yêu cầu từ Ban giám đốc","- Tốt nghiệp chuyên ngành công nghệ thông tin bậc đại học hoặc có chứng chỉ tại các trung tâm đào tạo lập trình viên (Aptech/...) - Có ít nhất 2 năm kinh nghiệm làm việc với PHP và Framework Laravel - Thành thạo PHP, Framework Laravel, MySQL (Đã từng làm việc với Java Springboot là điểm cộng) - Thành thạo GIT, Docker - Khả năng đọc hiểu tài liệu tiếng anh tốt - Khả năng tự nghiên cứu và áp dụng các công nghệ mới. - Kỹ năng làm việc độc lập, làm việc nhóm tốt - Trung thực, nhiệt huyết, hoà đồng - Ưu tiên ứng viên đã từng làm việc với các công nghệ như JavaScript, HTML, CSS, Vue.js hoặc React.","- Mức lương: Up to 25M
- Review lương 1 năm một lần, không giới hạn theo năng lực
- Thưởng năng suất, thưởng lợi nhuận
- 2 ngày WFH/tháng; ít nhất 12 ngày nghỉ phép và 1 ngày nghỉ Birthday relax có lương
- Được đào tạo và phát triển trên những nền tảng công nghệ tiên tiến nhất
- Được làm việc với dự án có quy mô lớn, xử lý lượng dữ liệu và traffic lớn
- Được bảo vệ sức khoẻ với các chính sách: Khám tầm soát ung thư định kỳ hàng năm tại các bệnh viện hàng đầu uy tín, Mua bảo hiểm Phi nhân thọ cho nhân viên
- 2 ngày WFH/tháng; ít nhất 12 ngày nghỉ phép và 1 ngày nghỉ Birthday relax có lương
- Được trải nghiệm dịch vụ 5 sao ít nhất 2 lần/năm
- Được hưởng đầy đủ các quyền lợi lao động theo quy định của nhà nước sau khi ký hợp đồng lao động
- Được tham gia các CLB sở thích: Bóng đá, Nhảy hiện đại,.. do công ty tài trợ chi phí 100%
- Môi trường làm việc trẻ trung năng động","- Hà Nội: Tầng 6, toà nhà Hà Nội Ford, 311 Trường Chinh, phường Khương Mai, Thanh Xuân","Linh hoạt từ Thứ 2 đến thứ 6 (Nghỉ thứ 7, chủ nhật)",2025-11-16,20000000.0,20000000.0,VND,[],Khác,mid,[]
